Project,Company,Location,Material,Kelly et al. 2021-Low,Kelly et al. 2021-High,Iyer and Kelly 2024-Low,Iyer and Kelly 2024-High,Mousavinezhad et al. 2024,Mousavinezhad et al. 2025,Sun et al. 2025,Khakmardan et al. 2024,Roy et al. 2024,Liu et al. 2025,Schenker and Pfister 2025,Manjong et al. 2021-Low,Manjong et al. 2021-High,Ambrose and Kendall 2020b-High Grade,Ambrose and Kendall 2020b-Low Grade,"Ambrose and Kendall 2020b-Low Grade, Unfavorable",Wang et al. 2025,Our Study-Low,Our Study-Midpoint,Our Study-High
Lanxess,Standard Lithium,USA,Brine-DLE,,,,,,,,,,,,,,,,,,,,
Clayton Valley DLE,Pure Energy Minerals,USA,Brine-DLE,,,,,,,,,,,,,,,,,,,,
Salar de Atacama-Albemarle,Albemarle,Chile,Brine,,,,,6.17,,3.19,,,,4.1,2,6.2,3.06,3.97,5.28,,,,
Salar de Atacama-SQM,SQM,Chile,Brine,2.7,3.1,,,,,,,,,4.1,2,6.2,3.06,3.97,5.28,,,,
Sal de Vida,Arcadium Lithium,Argentina,Brine,,,,,,,,,,,2.4,2,6.2,3.06,3.97,5.28,,,,
Silver Peak,Albemarle,USA,Brine,,,,,,4.34,8.08,,,,2.8,2,6.2,3.06,3.97,5.28,,3.7394156041915827,4.554620979255058,5.205641839604357
Sonora,Bacanora Minerals Limited,Mexico,Clay,,,,,,,,20.38,,,,,,,,,,,,
Clayton Valley South,Century Lithium,USA,Clay,,,8.9,16.6,,,,,,,,,,,,,,,,
Rhyolite Ridge,Ioneer,USA,Clay,,,8.9,16.6,,,,,,,,,,,,,,,,
Thacker Pass,Lithium Americas,USA,Clay,,,8.9,16.6,,10,,22.51,14.53,,,,,,,,,14.087919931515321,15.277078894557086,16.624630264446125
TLC (Tonopah Lithium Claims),American Lithium,USA,Clay,,,8.9,16.6,,,,,,,,,,,,,,,,
Greenbushes,Talison Lithium,Australia,Spodumene,,,,,,,,,,,,,,,,,,,,
Kings Mountain - Foote deposit,Albemarle,USA,Spodumene,,,,,,,,,,,,,,,,,,,,
Grota do Cirilo–Barreiro,Sigma Lithium,Brazil,Spodumene,,,,,,,,,,,,,,,,,,,,
Grota do Cirilo–Xuxa,Sigma Lithium,Brazil,Spodumene,,,,,,,,,,,,,,,,,,,,
Georgia Lake Project,Rock Tech Lithium,Canada,Spodumene,,,,,,,,,,,,,,,,,,,,
Mt Cattlin,Arcadium Lithium,Australia,Spodumene,,,,,,,,,,,,,,,,,,,,
Jianxiawo,CATL,China,Lepidolite,,,,,,,,,,22,,,,,,,66.4,16.191842372091624,20.613797036781566,26.86655496542076
414 Mine-Yichun,Jiangxi Nanshi Lithium Battery New Material ,China,Lepidolite,,,,,,,,,,,,,,,,,,,,
