variable_name,Description,CSTR Liming Step,Boron Removal,Solvent-extraction (SX) Lithium Concentration & Polishing Unit,Soda Ash Precipitation,Pressing,Washing & purification,Drying & Packaging
step_id,Step ID (unique),1,2,3,4,5,6,7
step_name,Human-readable process step,Lime treatment (CSTR + clarifier),Boron removal (solvent extraction/adsorption),Solvent exchange + settlers/polishing filter,Soda ash precipitation (Li₂CO₃),Pressing,Washing & purification,Drying & packaging
key_chemical,Key chemical equation evaluated in this step.,Mg2+ + Ca(OH)2 --> Mg(OH)2 + Ca2+,B + resin/solvent --> precipitate,Li + organic extractant; strip to aqueous,Li+ + (CO3)2- --> Li2CO3 via addition of Na2CO3. Assume output is roughly 20% Li2CO3. Conversion factor of L_slurry to L_brine calculated via determined by density_slurry mg/L * (mg Li2CO3 / mg slurry) * (mg Li / mg Li2CO3) where density_slurry = wt slurry/ L_slurry = 1.118 g/cm^3 = 1.118 mg/L (see step 5 notes). wt Li2CO3 / wt slurry = 20% from assumption. wt Li / wt Li2CO3 = 2*6.94/73.89 = 0.188 --> 1.118*0.20*0.188 mg Li / L slurry. Multiply by 10^3 to get mg Li / m3 slurry. This would be multiplied by the L_slurry and divided by Li concentration from input brine concentration (* 1 / (mg Li / L brine))) to get the L of brine. ,"Pressing for higher density. 20% Li2CO3 --> 70% Li2CO3, using equation defined in step 6, takes 1.118 g/cm^3 slurry to 1.58 g/cm^3 cake. We go from ~223.6 kg Li2CO3 and 894.4 kg water in the slurry per m^3 to 223.6 kg Li2CO3 and 95.8 kg water in the 70/30 cake. 319.4 kg / 1.58 kg/m^3 ≈ 0.202 m^3 cake per 1 m^3 slurry",Removal of any remaining soluble Na/K/Mg from cake via water washing,"mass_Li2CO3 (V_cake) = V_cake / (r_Li2CO3 / rho_Li2CO3 + (1 - r_Li2CO3) / (rho_water)) * yield, where r_Li2CO3 is the ratio of Li2CO3 to total cake mass, in this case assumed to be 70%. With rho_Li2CO3 = 2.11 g/cm3 and assuming relatively pure water (rho_water ≈ 1 g/cm3), we need roughly 0.903 L of cake per kg Li2CO3. Converting to m^3, we divide by 10^3"
notes,"Key information, notes",Mg removal via Ca(OH)2 at pH ~10.8–11.2; 15% excess over stoichiometric ratio of Ca(OH)2 to Mg2+ ions; lime slurry ~10 wt %; clarifier SOR ~33–49 m³·m⁻²·d⁻¹; mixing sized on P/V; Ca removal deferred to soda ash step.,Boron extraction with resin or solvent; typical removal 90–95%,Multi-stage extraction of Li⁺ into organic; scrub to reduce co-extracted Na/K; strip to produce a LiCl aqueous concentrate; typical 2–4 extraction stages + 1 scrub + 1–2 strip stages; organic = extractant + modifier + diluent; Li recovery per pass 80–95%; eluate sent to carbonate precipitation.,Li precipitation as carbonate at pH ~10.5; 5% Na2CO3 excess. ,Prepare filter cake via pressing,"Wash to remove residual Na, K, Mg","Drying to ~99% Li₂CO₃, bagging for sale"
sources,,"https://watertap.readthedocs.io/en/stable/technical_reference/costing/cstr.html, https://www.osmre.gov/sites/default/files/inline-files/reactionTank_amdtreatHelp_final508_0.pdf, https://www.pdhonline.com/courses/g127/g127content.pdf, https://www.saltworkstech.com/articles/lithium-brine-extraction-technologies-and-approaches/, https://www.veritoengineering.com/lime-dosing-system.php, https://sites.engineering.ucsb.edu/~jbraw/chemreacfun/ch6/slides-enbal-2up.pdf, https://s3.amazonaws.com/suncam/docs/278.pdf ",,"https://www.frontiersin.org/journals/chemical-engineering/articles/10.3389/fceng.2022.1008680/full, https://docs.nrel.gov/docs/fy21osti/79178.pdf, https://pmc.ncbi.nlm.nih.gov/articles/PMC11694342/, https://www.sciencedirect.com/science/article/abs/pii/S0011916423001753",,,,
process_type,continuous or batch,continuous,continuous,continuous,continuous,batch,batch,batch
base_volume,"Reference scale, as a rate for continuous, or as a quantity for batch",100000,100000,50000,10000,10000,10000,10000
base_volume_unit,"Not used directly in calculation, but for human readability",L concentrated brine/h,L limed concentrated brine/h,L de-boronated concentrated brine/h,L polished brine/h,L lithium slurry/hour,L unwashed Li2CO3 cake/h,L washed Li2CO3 cake/h
scaling_exponent_throughput,Exponent for process rate,0.7,0.7,0.7,0.7,,,
