Project Name,Type,Notes,Production Volume (Tonnes LCE / Year),Project Lifetime,ROM feed?,Initial Concentration,Concentration Units,Initial Density,Material Density Unit,Intermediate Concentration,Concentration Units,Intermediate Density,Material Density Unit,Pond Recovery Efficiency,Strip Ratio,Dilution,Loss,Swell Factor,Powder Factor,Pathway 1,Location 1,Transport 1,Pathway 2,Location 2,Transport 2,Pathway 3,Location 3
Cauchari Olaroz,Brine-Evaporative,,"25,000",30,,Li: 512; K: 4349; Mg: 941; Ca: 504; Na: 105721; B: 1323; SO4: 18930; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,1.19,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,,g/cm3,0.660,-,-,-,-,-,Brine-Evaporation,Argentina,,,Argentina,,,
Hombre Muerto North,Brine-Evaporative,,"15,600",25,,Li: 736; K: 7205; Mg: 2409; Ca: 684; Na: 101910; B: 441; SO4: 12230; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,1.20,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,,g/cm3,0.700,-,-,-,-,-,Brine-Evaporation,Argentina,,,Argentina,,,
Mina Fenix,Brine-Evaporative,,"25,300",40,,Li: 640; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,,g/cm3,0.766,-,-,-,-,-,Brine-Evaporation,Argentina,,,Argentina,,,
Sal de Vida,Brine-Evaporative,,"45,000",40,,Li: 757; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,,g/cm3,0.700,-,-,-,-,-,Brine-Evaporation,Argentina,,,Argentina,,,
Salar de Olaroz,Brine-Evaporative,,"25,000",30,,Li: 687; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,,g/cm3,0.620,-,-,-,-,-,Brine-Evaporation,Argentina,,,Argentina,,,
Salar de Atacama-Albemarle,Brine-Evaporative,,"88,000",21,,Li: 2061; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,,g/cm3,Li: 82100; K: 8000; Mg: 10000; Ca: 1000; Na: 20000; B: 5000; SO4: 5000; Si: 0; Rb: 50; F: 0; Cs:0,mg particle/L,,g/cm3,0.650,-,-,-,-,-,Brine-Evaporation,Chile_Atacama,liquid_tanker_truck_diesel: ; rail: ,Brine-Solvent Extraction-Boron,Chile_Plant,,,
Salar de Atacama-SQM,Brine-Evaporative,,"210,000",7,,Li: 2037; K: 21629; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,1.225,g/cm3,Li: 72250; K: 8000; Mg: 10000; Ca: 1000; Na: 20000; B: 5000; SO4: 5000; Si: 0; Rb: 50; F: 0; Cs:0,mg particle/L,1.25,g/cm3,0.560,-,-,-,-,-,Brine-Evaporation,Chile_Atacama,liquid_tanker_truck_diesel: 500,Brine-Solvent Extraction-Boron,Chile_Plant,,,
Tres Quebradas,Brine-Evaporative,,"20,000",50,,Li: 940; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,,g/cm3,0.510,-,-,-,-,-,Brine-Evaporation,Argentina,,,Argentina,,,
Silver Peak,Brine-Evaporative,,"4,503",25,,Li: 84; K: 2181; Mg: 98; Ca: 232; Na: 25571; B: 35; SO4: 1854; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,1.058,g/cm3,Li: 6480; K: 57600; Mg: 70; Ca: 40; Na: 93600; B: 2000; SO4: 34800; Si: 0; Rb: 0; F: 0; Cs:0,mg particle/L,1.25,g/cm3,0.444,-,-,-,-,-,Brine-Evaporation,United States,,Brine-Solvent Extraction-Boron,United States,,,
Lanxess,Brine-DLE,,"5,400",,,,,,g/cm3,,,,g/cm3,,-,-,-,-,-,Brine-DLE-Selective Sorption-Carbonation,United States,,,United States,,,
