Project Name,Description,Cauchari Olaroz,Hombre Muerto North,Mina Fenix,Sal de Vida,Salar de Olaroz,Salar de Atacama-Albemarle,Salar de Atacama-SQM,Tres Quebradas,Silver Peak,Lanxess,Southwest Arkansas,Clearwater,Paradox,Tolillar,Georgia Lake,PAK (Chemical Grade),Mt Cattlin,James Bay,Greenbushes - Chemical Grade Plant,Rose Lithium-Tantalum,Shaakichiuwaanaan,Carolina Lithium,Whabouchi,Falchani,Rhyolite Ridge,Thacker Pass,Bonnie Claire (2024),TLC (Tonopah Lithium Claims),Clayton Valley (Angel Island),Bonnie Claire (2022),Sonora,Tonopah Flats,Xiangyuan,Jianxiawo
Notes,,,,,,,,,,,,Carbonate target,Hydroxide target,,,,,,,,,,,,,"Note claimed production target of 22,695 short tons per year.",,Reverted to this more traditional method because 'The calcination flowsheet was not successful in handling materials with high boron concentrations (searlesite minerals).',Based on Table 17-2 - Design Criteria,,"Largely disregard this line; in 2024 disclosure, they shifted to a much more standard open pit extraction + sulfuric acid method, but also provided a less detailed disclosure as a result.",,Target is Hydroxide production.,,Estimated from Garrett 2004
Type,,Brine-Evaporative,Brine-Evaporative,,Brine-Evaporative,Brine-Evaporative,Brine-Evaporative,Brine-Evaporative,Brine-Evaporative,Brine-Evaporative,Brine-DLE-Adsorption,Brine-DLE-Adsorption,Brine-DLE-Adsorption-IX,Brine-DLE-Adsorption-IX,Brine-DLE,Spodumene,Spodumene,Spodumene,Spodumene,Spodumene,Spodumene,Spodumene,Spodumene,Spodumene,Clays,Clays,Clays,Clays,Clays,Clays,Clays,Clays,Clays,Lepidolite,Lepidolite
Production Volume,Tonnes LCE / Year,"25,000","15,600","25,300","45,000","25,000","88,000","210,000","20,000","4,503","5,400","22,500","16,806","13,074","25,000","44,201","20,000","267,084","296,760","311,598","27,715","112,556","242,000","71,528","84,261","20,589","66,800",(no production forecast),"48,000","22,500","32,300","35,000","29,073",,"46,000"
Project Lifetime,,30,25,40,40,30,21,7,50,25,25,20,50,10,,4.5,20,6,19,32,15.33,18,11,24,43,25,40,40,40,40,40,19,50,-,?
Material Data Source,"Which column in Material Data to get data from. If blank, assume default",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROM feed?,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,FALSE,,,,,,
Initial Concentration Target Step,,brine_pumping,brine_pumping,brine_pumping,brine_pumping,brine_pumping,brine_pumping,brine_pumping,brine_pumping,brine_pumping,,,,,,,,,,,,,,,,,crushing,crushing,crushing,,,,,,crushing
Initial Concentration,Concentration of constituents in-situ,Li: 512; K: 4349; Mg: 941; Ca: 504; Na: 105721; B: 1323; SO4: 18930; Si: 0; Rb: 0; F: 0; Cs:0,Li: 736; K: 7205; Mg: 2409; Ca: 684; Na: 101910; B: 441; SO4: 12230; Si: 0; Rb: 0; F: 0; Cs:0,Li: 640; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 757; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 687; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 2061; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 2037; K: 21629; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 940; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 84; K: 2181; Mg: 98; Ca: 232; Na: 25571; B: 35; SO4: 1854; Si: 0; Rb: 0; F: 0; Cs:0,Li: 237; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 514; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,,Li: ; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,,,,,,,,,,,Li: 3067; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 1800; K: 0; Mg: 0; Ca: 0; Na: 0; B: 15400; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 3270; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 1106; K: 0; Mg: 0; Ca: 0; Na: 0; B: 1505; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 1400; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 1149; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 1013; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 4151; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 680; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,,Li: 7576; K: 24734; Mg: 60; Ca: 429; Na: 38070; B: 0; SO4: 0; Si: 321000; Rb: 3016; F: 18600; Cs: 0
Concentration Units,,mg particle/L,mg particle/L,mg particle/L,mg particle/L,mg particle/L,mg particle/L,mg particle/L,mg particle/L,mg particle/L,,,,mg particle/L,,,,,,,,,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm (wt%)
Initial Density,,1.19,1.20,,,,,1.225,,1.058,,,,,,,,,,,,,,,,,1.6,,,,,,,,2.7
Material Density Unit,,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3
Intermediate Concentration Target Step-Before,,evap_ponds,evap_ponds,evap_ponds,evap_ponds,evap_ponds,evap_ponds,evap_ponds,evap_ponds,evap_ponds,,,,,,,,,,,,,,,,,impurity_removal,impurity_removal,impurity_removal,,,,,,dewatering
Intermediate Concentration Target Step-After,,liming_step,liming_step,liming_step,liming_step,liming_step,liming_step,liming_step,liming_step,batch_treatment,,,,,,,,,,,,,,,,,precipitation_step,precipitation_step,precipitation_step,,,,,,sulfate_roasting
