variable_name,Description,Unit,liquid_tanker_truck_diesel,dry_bulk_truck,haul_truck,rail_freight_liquid,rail_freight_solid,dry_bulk_barges
base_volume,,volume,30000,35000,120000,100000,110000,"1,500,000"
base_volume_unit,,,L,L,L,L,L,L
fixed_cost,Fixed costs,,,,,,,
operating_cost,Operating cost,per volume per km,$0.000162,$0.000243,$0.001615,$0.000048,$0.000072,$0.000016
operating_cost_low,,per volume per km,$0.000084,$0.000126,$0.000380,$0.000024,$0.000036,$0.000011
operating_cost_high,,per volume per km,$0.000240,$0.000360,$0.002850,$0.000072,$0.000108,$0.000022
operating_cost_unit,,,$/L-km,$/L-km,$/L-km,$/L-km,$/L-km,$/L-km
fuel_usage,,,,,,,,
labor_fraction,,,,,,,,
maintenance,,,,,,,,
ghg_emissions,GHG per volume per distance,kg CO2 / L·km,0.000156,0.000234,0.000361,0.0000252,0.0000378,0.000036
ghg_emissions (low),,kg CO2 / L·km,0.000096,0.000144,0.000152,0.0000144,0.0000216,0.000018
ghg_emissions (high),,kg CO2 / L·km,0.000216,0.000324,0.00057,0.000036,0.000054,0.000054
so2_emissions,SO2 per volume per distance,g / L·km,0.0000012,0.0000018,0.0000019,0.0000012,0.0000018,0.0000027
so2_emissions (low),,g / L·km,0.00000012,0.00000018,0.00000019,0.00000012,0.00000018,0.00000036
so2_emissions (high),,g / L·km,0.0000024,0.0000036,0.0000038,0.0000024,0.0000036,0.0000054
nox_emissions ,NOx per volume per distance,g / L·km,0.00024,0.00036,0.0019,0.00036,0.00054,0.00027
nox_emissions (low),,g / L·km,0.000024,0.000036,0.00057,0.00012,0.00018,0.00027
nox_emissions (high),,g / L·km,0.00048,0.00072,0.0038,0.00072,0.00108,0.00054
pm_emissions,PM2.5 per volume per distance,g / L·km,0.000009,0.0000135,0.000095,0.000018,0.000027,0.000009
pm_emissions (low),,g / L·km,0.00000024,0.00000036,0.000019,0.000006,0.000009,0.0000054
pm_emissions (high),,g / L·km,0.000018,0.000027,0.00019,0.000036,0.000054,0.000018
loss_fraction,,fraction,0,0,0,0,0,0
